extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
1095,15.6806,0.332888,165.835,6.06694
1096,15.7095,0.330384,166.361,6.02406
1097,15.7387,0.329937,166.883,6.02347
1098,15.7677,0.33301,167.409,6.09343
1099,15.7956,0.341508,167.955,6.27065
1100,15.8214,0.357836,168.545,6.60106
1101,15.843,0.384856,169.214,7.13894
1102,15.8576,0.425701,170.016,7.94331
1103,15.861,0.483391,171.032,9.07089
1104,15.847,0.560124,172.381,10.5632
1105,15.8068,0.656027,174.227,12.4233
1106,15.7299,0.767084,176.773,14.5758
1107,15.606,0.882536,180.217,16.8175
1108,15.4301,0.983598,184.654,18.7912
1109,15.21,1.04705,189.938,20.0537
1110,14.969,1.05534,195.626,20.2677
1111,14.7386,1.00721,201.114,19.4051
1112,14.5447,0.918542,205.907,17.765
1113,14.3986,0.81241,209.787,15.7844
1114,14.298,0.708067,212.79,13.8284
1115,14.2346,0.616334,215.079,12.1023
1116,14.1986,0.540676,216.836,10.6725
1117,14.1822,0.480252,218.213,9.52418
1118,14.1797,0.432525,219.319,8.61141
1119,14.187,0.394803,220.233,7.88548
1120,14.2014,0.364871,221.006,7.30662
1121,14.221,0.341123,221.676,6.84597
1122,14.2446,0.322452,222.269,6.48357
1123,14.271,0.308096,222.807,6.2055
1124,14.2995,0.297505,223.303,6.00137
1125,14.3294,0.290237,223.772,5.86258
1126,14.3602,0.285898,224.223,5.78126
1127,14.3916,0.284113,224.665,5.74981
1128,14.4231,0.284509,225.105,5.76073
1129,14.4543,0.286721,225.55,5.80664
1130,14.4852,0.290395,226.004,5.88048
1131,14.5154,0.295194,226.471,5.97562
1132,14.5448,0.300815,226.956,6.08611
1133,14.5733,0.306988,227.459,6.20682
1134,14.6007,0.313496,227.983,6.33368
1135,14.6271,0.320182,228.529,6.46398
1136,14.6523,0.326972,229.098,6.5967
1137,14.6763,0.33389,229.69,6.733
1138,14.6991,0.341095,230.308,6.87684
1139,14.7204,0.348909,230.954,7.03573
1140,14.7403,0.357865,231.632,7.22166
1141,14.7582,0.368753,232.348,7.45209
1142,14.7736,0.382659,233.116,7.7507
