extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
5000,16.7904,0.167811,4198.26,11.9295
5001,16.7965,0.163468,4198.86,11.6078
5002,16.8031,0.158931,4199.42,11.2731
5003,16.8101,0.154244,4199.95,10.9286
5004,16.8175,0.149452,4200.45,10.5775
5005,16.8254,0.144595,4200.92,10.2226
5006,16.8338,0.139711,4201.35,9.86666
5007,16.8425,0.134835,4201.76,9.51213
5008,16.8517,0.129998,4202.14,9.1612
5009,16.8612,0.125227,4202.49,8.81577
5010,16.8712,0.120546,4202.81,8.47755
5011,16.8815,0.115977,4203.11,8.14795
5012,16.8921,0.111536,4203.39,7.82819
5013,16.903,0.107239,4203.64,7.51929
5014,16.9142,0.103097,4203.88,7.22206
5015,16.9257,0.0991219,4204.1,6.93718
5016,16.9374,0.0953201,4204.3,6.66516
5017,16.9494,0.0916984,4204.49,6.40639
5018,16.9615,0.0882616,4204.66,6.16119
5019,16.9739,0.0850133,4204.82,5.92977
5020,16.9864,0.0819562,4204.97,5.71227
5021,16.9991,0.0790924,4205.11,5.5088
5022,17.012,0.0764232,4205.23,5.31943
5023,17.0249,0.07395,4205.35,5.1442
5024,17.038,0.0716735,4205.47,4.98313
5025,17.0512,0.0695945,4205.57,4.83623
5026,17.0646,0.0677139,4205.67,4.70354
5027,17.0779,0.0660323,4205.77,4.58505
5028,17.0914,0.0645508,4205.86,4.4808
5029,17.105,0.0632703,4205.94,4.39081
5030,17.1186,0.0621919,4206.03,4.31512
5031,17.1322,0.0613167,4206.11,4.25375
5032,17.1459,0.0606458,4206.19,4.20674
5033,17.1597,0.0601804,4206.26,4.17412
5034,17.1734,0.0599214,4206.34,4.15591
5035,17.1872,0.0598697,4206.42,4.15211
5036,17.201,0.0600261,4206.49,4.16272
5037,17.2148,0.060391,4206.57,4.18773
5038,17.2286,0.0609649,4206.65,4.22711
5039,17.2424,0.0617479,4206.73,4.28081
5040,17.2562,0.0627399,4206.81,4.34879
5041,17.2699,0.0639408,4206.89,4.43099
5042,17.2836,0.0653503,4206.98,4.52733
5043,17.2973,0.0669681,4207.07,4.63776
5044,17.3109,0.0687938,4207.17,4.7622
5045,17.3245,0.070827,4207.27,4.90058
5046,17.3379,0.0730671,4207.38,5.05281
5047,17.3513,0.0755135,4207.5,5.21883
5048,17.3646,0.0781654,4207.63,5.39853
5049,17.3777,0.0810219,4207.76,5.59182
5050,17.3907,0.0840815,4207.9,5.79855
5051,17.4036,0.0873424,4208.06,6.01855
5052,17.4163,0.090802,4208.22,6.25163
5053,17.4288,0.0944568,4208.4,6.49749
5054,17.4412,0.0983023,4208.6,6.75579
5055,17.4532,0.102333,4208.81,7.02609
5056,17.4651,0.10654,4209.04,7.30783
5057,17.4767,0.110915,4209.29,7.60032
5058,17.488,0.115445,4209.56,7.90272
5059,17.4989,0.120117,4209.85,8.21402
5060,17.5096,0.124913,4210.16,8.53301
5061,17.5199,0.129813,4210.5,8.85828
5062,17.5298,0.134793,4210.86,9.18818
5063,17.5393,0.139824,4211.26,9.52084
5064,17.5483,0.144877,4211.68,9.8541
5065,17.557,0.149915,4212.13,10.1856
5066,17.5651,0.154901,4212.61,10.5127
5067,17.5729,0.159792,4213.13,10.8326
5068,17.5801,0.164542,4213.67,11.1423
5069,17.5869,0.169105,4214.25,11.4386
5070,17.5932,0.173431,4214.85,11.7181
5071,17.5991,0.17747,4215.49,11.9777
5072,17.6046,0.181172,4216.15,12.214
5073,17.6097,0.184491,4216.84,12.424
5074,17.6144,0.187383,4217.55,12.6047
5075,17.6189,0.189806,4218.29,12.7537
5076,17.6231,0.191728,4219.03,12.8687
5077,17.6271,0.193121,4219.8,12.9481
5078,17.631,0.193967,4220.56,12.9908
5079,17.6348,0.194257,4221.34,12.9962
5080,17.6386,0.19399,4222.11,12.9644
5081,17.6424,0.193174,4222.87,12.8963
5082,17.6464,0.191829,4223.63,12.7931
5083,17.6506,0.18998,4224.37,12.6567
5084,17.6551,0.187661,4225.1,12.4895
5085,17.6598,0.184913,4225.81,12.2942
5086,17.6648,0.181782,4226.49,12.0741
5087,17.6703,0.178315,4227.15,11.8323
5088,17.6761,0.174565,4227.78,11.5724
5089,17.6824,0.170583,4228.39,11.2979
5090,17.689,0.166421,4228.96,11.0122
5091,17.6962,0.162129,4229.51,10.7186
5092,17.7037,0.157754,4230.03,10.4204
5093,17.7117,0.153342,4230.52,10.1204
5094,17.7201,0.148933,4230.98,9.82147
5095,17.7289,0.144566,4231.41,9.52593
5096,17.7381,0.140272,4231.82,9.23599
5097,17.7477,0.136082,4232.21,8.95358
5098,17.7577,0.132022,4232.57,8.68037
5099,17.7679,0.128114,4232.91,8.41786
5100,17.7785,0.124379,4233.23,8.16739
5101,17.7894,0.120836,4233.53,7.93025
5102,17.8005,0.117506,4233.82,7.70783
5103,17.8119,0.114412,4234.09,7.50179
5104,17.8235,0.111584,4234.34,7.31436
5105,17.8353,0.109066,4234.59,7.14886
5106,17.8472,0.106927,4234.82,7.01043
5107,17.8593,0.105273,4235.05,6.90726
5108,17.8715,0.104276,4235.27,6.85239
5109,17.8837,0.104208,4235.48,6.86642
5110,17.896,0.105491,4235.71,6.98104
5111,17.9081,0.108761,4235.94,7.24322
5112,17.9199,0.114928,4236.19,7.71872
5113,17.9311,0.125209,4236.49,8.4936
5114,17.9413,0.141123,4236.86,9.67266
5115,17.9499,0.164439,4237.34,11.3767
5116,17.9556,0.197137,4238.03,13.7407
5117,17.9566,0.241363,4239.05,16.9121
5118,17.95,0.299307,4240.61,21.043
5119,17.9313,0.372809,4243.03,26.2611
5120,17.8937,0.462416,4246.78,32.6033
5121,17.8285,0.565621,4252.47,39.8906
5122,17.7261,0.674373,4260.78,47.5534
5123,17.5802,0.773153,4272.13,54.4974
5124,17.3944,0.840745,4286.29,59.2306
5125,17.1861,0.858341,4301.99,60.4356
5126,16.9829,0.820395,4317.31,57.7323
5127,16.81,0.738357,4330.48,51.9364
5128,16.6796,0.633232,4340.64,44.5315
5129,16.5908,0.524745,4347.86,36.9061
5130,16.5357,0.425588,4352.71,29.9512
5131,16.5046,0.341438,4355.86,24.0631
5132,16.4896,0.273359,4357.89,19.3139
5133,16.4848,0.220093,4359.2,15.6126
5134,16.4864,0.179516,4360.06,12.8075
5135,16.4919,0.149368,4360.65,10.737
5136,16.4998,0.127549,4361.07,9.24998
5137,16.5092,0.112204,4361.39,8.21313
5138,16.5194,0.10175,4361.64,7.51318
5139,16.5303,0.0948858,4361.86,7.0583
5140,16.5414,0.0905966,4362.05,6.77814
5141,16.5527,0.0881353,4362.24,6.62189
5142,16.5642,0.0869809,4362.41,6.55468
5143,16.5757,0.086786,4362.59,6.55351
