total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1871,1733.96,10.1493,0.210888,1234.89,13.0824
1872,1734.85,10.1571,0.202871,1235.5,12.5475
1873,1735.74,10.1657,0.195037,1236.06,12.027
1874,1736.61,10.1749,0.187429,1236.57,11.5235
1875,1737.48,10.1848,0.180084,1237.04,11.0391
1876,1738.34,10.1953,0.173028,1237.47,10.5753
1877,1739.19,10.2063,0.166284,1237.87,10.1331
1878,1740.03,10.2178,0.159865,1238.23,9.71342
1879,1740.87,10.2297,0.153782,1238.57,9.31647
1880,1741.71,10.2421,0.14804,1238.88,8.94242
1881,1742.53,10.2548,0.14264,1239.16,8.59112
1882,1743.36,10.2678,0.137578,1239.42,8.26226
1883,1744.18,10.2812,0.132852,1239.67,7.95534
1884,1744.99,10.2948,0.128453,1239.89,7.66974
1885,1745.81,10.3087,0.124372,1240.1,7.40474
1886,1746.62,10.3228,0.1206,1240.3,7.15955
1887,1747.42,10.3371,0.117123,1240.48,6.93329
1888,1748.23,10.3515,0.11393,1240.66,6.72505
1889,1749.03,10.3661,0.111007,1240.82,6.53391
1890,1749.83,10.3808,0.10834,1240.97,6.3589
1891,1750.63,10.3957,0.105915,1241.12,6.19907
1892,1751.43,10.4106,0.103719,1241.26,6.05346
1893,1752.23,10.4257,0.101736,1241.39,5.92115
1894,1753.02,10.4408,0.0999538,1241.52,5.80121
1895,1753.82,10.456,0.098358,1241.64,5.69277
1896,1754.61,10.4713,0.0969357,1241.76,5.59498
1897,1755.4,10.4866,0.0956744,1241.87,5.50704
1898,1756.2,10.502,0.094562,1241.98,5.42818
1899,1756.99,10.5174,0.0935875,1242.09,5.35771
1900,1757.78,10.5329,0.0927404,1242.19,5.29498
1901,1758.57,10.5484,0.0920111,1242.3,5.2394
1902,1759.36,10.5639,0.0913911,1242.4,5.19046
1903,1760.15,10.5794,0.0908727,1242.5,5.14769
1904,1760.94,10.595,0.0904495,1242.59,5.11072
1905,1761.73,10.6105,0.090116,1242.69,5.07925
1906,1762.52,10.6261,0.0898681,1242.78,5.05307
1907,1763.31,10.6417,0.0897033,1242.88,5.03206
1908,1764.1,10.6573,0.0896201,1242.97,5.01622
1909,1764.89,10.6729,0.0896193,1243.06,5.00565
1910,1765.68,10.6885,0.0897034,1243.16,5.00063
1911,1766.47,10.704,0.0898772,1243.25,5.00156
1912,1767.26,10.7196,0.0901482,1243.34,5.00906
1913,1768.05,10.7352,0.0905272,1243.43,5.02398
1914,1768.84,10.7507,0.0910285,1243.53,5.04743
1915,1769.63,10.7663,0.0916711,1243.62,5.08084
1916,1770.42,10.7818,0.0924792,1243.71,5.12602
1917,1771.21,10.7972,0.0934835,1243.81,5.18525
1918,1772,10.8126,0.0947219,1243.91,5.26131
1919,1772.79,10.828,0.0962413,1244.01,5.35757
1920,1773.59,10.8433,0.0980989,1244.12,5.47812
1921,1774.31,10.8636,0.101546,1244.28,5.71005
1922,1775.04,10.8837,0.106148,1244.46,6.02392
1923,1775.78,10.9035,0.112248,1244.65,6.44261
1924,1776.51,10.9227,0.120267,1244.88,6.99332
1925,1777.26,10.9414,0.130706,1245.14,7.70757
1926,1778.02,10.9591,0.144142,1245.46,8.62104
1927,1778.8,10.9756,0.161227,1245.87,9.77352
1928,1779.6,10.9903,0.182676,1246.38,11.2087
1929,1780.44,11.0024,0.209251,1247.05,12.9736
1930,1781.32,11.011,0.241725,1247.95,15.1164
1931,1782.27,11.0146,0.28081,1249.16,17.6819
1932,1783.32,11.0114,0.327023,1250.8,20.7035
1933,1784.49,10.9989,0.380454,1253.04,24.1878
1934,1785.82,10.9742,0.440424,1256.05,28.093
1935,1787.36,10.934,0.505037,1260.05,32.3004
1936,1789.16,10.8751,0.57074,1265.24,36.5862
1937,1791.23,10.7959,0.632161,1271.72,40.6115
1938,1793.56,10.6969,0.682584,1279.47,43.9524
1939,1796.12,10.582,0.715348,1288.23,46.1899
1940,1798.78,10.4585,0.725908,1297.54,47.0408
1941,1801.45,10.3353,0.713603,1306.84,46.4716
1942,1803.99,10.2209,0.682079,1315.59,44.7248
1943,1806.34,10.1207,0.638068,1323.44,42.2404
1944,1808.48,10.0369,0.589341,1330.27,39.5231
1945,1810.4,9.96851,0.542879,1336.13,37.0217
1946,1812.15,9.91287,0.503831,1341.21,35.0575
1947,1813.78,9.86655,0.475176,1345.73,33.8005
1948,1815.32,9.82615,0.457823,1349.91,33.2804
1949,1816.83,9.78871,0.450978,1353.95,33.4178
1950,1818.33,9.75185,0.45268,1358.01,34.066
1951,1819.84,9.71379,0.460369,1362.21,35.0482
1952,1821.38,9.67338,0.471344,1366.61,36.1826
1953,1822.97,9.63009,0.48305,1371.25,37.2974
1954,1824.59,9.58395,0.493241,1376.12,38.2398
1955,1826.25,9.53556,0.500084,1381.17,38.8836
1956,1827.92,9.48597,0.502241,1386.3,39.1367
1957,1829.58,9.43652,0.498937,1391.42,38.9471
1958,1831.23,9.38867,0.489968,1396.4,38.3056
1959,1832.83,9.3438,0.47566,1401.15,37.2424
1960,1834.39,9.30303,0.456757,1405.56,35.8188
1961,1835.87,9.26718,0.434268,1409.58,34.1164
1962,1837.28,9.23665,0.409316,1413.18,32.2244
1963,1838.62,9.21154,0.382995,1416.36,30.2296
1964,1839.89,9.19165,0.356284,1419.11,28.2089
1965,1841.09,9.1766,0.329985,1421.49,26.2251
1966,1842.24,9.1659,0.304712,1423.52,24.3261
1967,1843.33,9.159,0.280901,1425.25,22.5454
1968,1844.38,9.15538,0.25883,1426.73,20.9041
1969,1845.39,9.15453,0.238651,1427.98,19.4131
1970,1846.37,9.15599,0.220419,1429.06,18.0756
1971,1847.33,9.15936,0.204118,1429.98,16.8892
1972,1848.26,9.1643,0.189682,1430.78,15.8473
1973,1849.17,9.17053,0.17701,1431.48,14.9406
1974,1850.08,9.1778,0.165981,1432.09,14.1584
1975,1850.97,9.18592,0.156461,1432.64,13.4891
1976,1851.85,9.19473,0.148312,1433.13,12.9208
1977,1852.72,9.20408,0.141396,1433.58,12.442
1978,1853.59,9.21388,0.135577,1433.99,12.0417
1979,1854.45,9.22403,0.130727,1434.37,11.7097
1980,1855.31,9.23447,0.126726,1434.73,11.4367
1981,1856.17,9.24512,0.123462,1435.08,11.2145
1982,1857.02,9.25596,0.120837,1435.4,11.0357
1983,1857.87,9.26693,0.118761,1435.72,10.894
1984,1858.72,9.27801,0.117157,1436.03,10.784
1985,1859.57,9.28916,0.115957,1436.33,10.7011
1986,1860.42,9.30037,0.115102,1436.62,10.6413
1987,1861.27,9.31163,0.114543,1436.91,10.6013
1988,1862.12,9.3229,0.114239,1437.2,10.5784
1989,1862.96,9.33419,0.114153,1437.48,10.5703
1990,1863.81,9.34547,0.114256,1437.77,10.5751
1991,1864.66,9.35675,0.114525,1438.05,10.5912
1992,1865.51,9.368,0.114938,1438.34,10.6173
1993,1866.36,9.37923,0.115478,1438.63,10.6524
1994,1867.21,9.39043,0.116132,1438.92,10.6954
1995,1868.05,9.40159,0.116888,1439.21,10.7457
1996,1868.9,9.41271,0.117735,1439.5,10.8026
1997,1869.75,9.42377,0.118667,1439.8,10.8655
1998,1870.61,9.43479,0.119677,1440.1,10.9341
1999,1871.46,9.44574,0.120757,1440.4,11.0079
2000,1872.31,9.45664,0.121904,1440.71,11.0866
2001,1873.16,9.46747,0.123114,1441.02,11.1698
2002,1874.02,9.47823,0.124381,1441.34,11.2572
2003,1874.88,9.48891,0.125704,1441.66,11.3487
2004,1875.73,9.49952,0.127078,1441.99,11.444
2005,1876.59,9.51005,0.128501,1442.32,11.5427
2006,1877.45,9.52049,0.12997,1442.66,11.6448
2007,1878.31,9.53084,0.131481,1443,11.7498
2008,1879.17,9.54111,0.133033,1443.36,11.8576
2009,1880.03,9.55128,0.134621,1443.71,11.9679
2010,1880.9,9.56135,0.136242,1444.08,12.0804
2011,1881.76,9.57133,0.137893,1444.45,12.1948
2012,1882.63,9.5812,0.139571,1444.83,12.3108
2013,1883.5,9.59097,0.141271,1445.21,12.428
2014,1884.37,9.60063,0.14299,1445.6,12.5461
2015,1885.24,9.61018,0.144722,1446,12.6647
2016,1886.11,9.61962,0.146463,1446.41,12.7834
2017,1886.98,9.62895,0.148208,1446.83,12.9017
2018,1887.86,9.63817,0.149952,1447.25,13.0193
2019,1888.74,9.64727,0.151689,1447.68,13.1355
2020,1889.62,9.65625,0.153413,1448.12,13.25
